,ID,Smiles,pIC50
131,131,Clc1c(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)cccc1-c1cc(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)ccc1,9.2456512
132,132,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNCC(F)(F)F)cc1,8.4218197
133,133,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1ncc(CNC[C@H]2NC(=O)CC2)c(OC)c1,10.148742
134,134,Clc1c(-c2c(Cl)c(-c3nc(C)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.7375488
135,135,Fc1c(-c2c(F)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,9.0319843
136,136,Fc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.7075224
137,137,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN)cc3)ccc2)cccc1-c1nc(OC)c(CN)cc1,9.2541447
138,138,O(C)c1c(CNC[C@H]2NC(=O)CC2)ccc(-c2c(C#N)c(-c3c(C#N)c(-c4nc(OC)c(CNC[C@H]5NC(=O)CC5)cc4)ccc3)ccc2)n1,9.6840296
139,139,O(C)c1c(C2=NCCN2)ccc(-c2c(C#N)c(-c3c(C#N)c(-c4nc(OC)c(C5=NCCN5)cc4)ccc3)ccc2)n1,9.5850267
140,140,Clc1c(-c2c(Cl)c(-c3ncc(CNC[C@H]4NC(=O)CC4)c(OC)c3)ccc2)cccc1-c1ncc(CNC[C@H]2NC(=O)CC2)c(OC)c1,9.5361071
